"trainer/global_step","Group: bpe-conversion - _step","Group: bpe-conversion - _step__MIN","Group: bpe-conversion - _step__MAX","Group: bpe-conversion - validation/loss_epoch","Group: bpe-conversion - validation/loss_epoch__MIN","Group: bpe-conversion - validation/loss_epoch__MAX","Group: bpe-2 - _step","Group: bpe-2 - _step__MIN","Group: bpe-2 - _step__MAX","Group: bpe-2 - validation/loss_epoch","Group: bpe-2 - validation/loss_epoch__MIN","Group: bpe-2 - validation/loss_epoch__MAX","Group: bpe-knockout-2 - _step","Group: bpe-knockout-2 - _step__MIN","Group: bpe-knockout-2 - _step__MAX","Group: bpe-knockout-2 - validation/loss_epoch","Group: bpe-knockout-2 - validation/loss_epoch__MIN","Group: bpe-knockout-2 - validation/loss_epoch__MAX"
"7593","","","","","","","159683","3893","315473","2.215720295906067","2.212472915649414","2.2189676761627197","315473","315473","315473","2.059840440750122","2.059840440750122","2.059840440750122"
"7687","","","","","","","7788","7788","7788","2.209993600845337","2.209993600845337","2.209993600845337","319368","319368","319368","2.0578150749206543","2.0578150749206543","2.0578150749206543"
"7781","","","","","","","11683","11683","11683","2.202272653579712","2.202272653579712","2.202272653579712","323263","323263","323263","2.046825647354126","2.046825647354126","2.046825647354126"
"7874","","","","","","","15578","15578","15578","2.1970760822296143","2.1970760822296143","2.1970760822296143","327158","327158","327158","2.040688991546631","2.040688991546631","2.040688991546631"
"7968","","","","","","","19472","19472","19472","2.1936779022216797","2.1936779022216797","2.1936779022216797","331052","331052","331052","2.0423405170440674","2.0423405170440674","2.0423405170440674"
"8062","","","","","","","23367","23367","23367","2.1784088611602783","2.1784088611602783","2.1784088611602783","334947","334947","334947","2.028550863265991","2.028550863265991","2.028550863265991"
"8156","","","","","","","27262","27262","27262","2.171295404434204","2.171295404434204","2.171295404434204","338842","338842","338842","2.025414228439331","2.025414228439331","2.025414228439331"
"8249","","","","","","","31157","31157","31157","2.165618896484375","2.165618896484375","2.165618896484375","342737","342737","342737","2.0205368995666504","2.0205368995666504","2.0205368995666504"
"8343","","","","","","","35051","35051","35051","2.162722587585449","2.162722587585449","2.162722587585449","346631","346631","346631","2.019146203994751","2.019146203994751","2.019146203994751"
"8437","","","","","","","38946","38946","38946","2.152721881866455","2.152721881866455","2.152721881866455","350526","350526","350526","2.005767583847046","2.005767583847046","2.005767583847046"
